title,author,description,cover_url,genres,year
The Language Loss of the Indigenous,"G. N. Devy, Geoffrey V. Davis, K. K. Chakravarty","This volume traces the theme of the loss of language and culture in numerous post-colonial contexts. It establishes that the aphasia imposed on the indigenous is but a visible symptom of a deeper malaise — the mismatch between the symbiotic relation nurtured by the indigenous with their environment and the idea of development put before them as their future. The essays here show how the cultures and the imaginative expressions of indigenous communities all over the world are undergoing a phase of rapid depletion. They unravel the indifference of market forces to diversity and that of the states, unwilling to protect and safeguard these marginalized communities. This book will be useful to scholars and researchers of cultural and literary studies, linguistics, sociology and social anthropology, as well as tribal and indigenous studies.",http://books.google.com/books/content?id=mM6jCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Social Science,2016
The Life and Adventures of Robinson Crusoe,Daniel Defoe,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=Gau0DAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2016
An Introduction to Book History,"David Finkelstein, Alistair McCleery","This second edition of An Introduction to Book History provides a comprehensive critical introduction to the development of the book and print culture. Each fully revised and updated chapter contains new material and covers recent developments in the field, including: The Postcolonial Book Censorship by states and religions Social History, and the recognition of underrepresentation of its value to book history studies Contemporary publishing Each section begins with a summary of the chapter's aims and contents, followed by a detailed discussion of the relevant issues, concluding with a summary of the chapter and points to ponder. Sections include: the history of the book orality to Literacy literacy to printing authors, authorship and authority printers, booksellers, publishers, agents readers and reading the future of the book. An Introduction to Book History is an ideal introduction to this exciting field of study, and is designed as a companion text to The Book History Reader.",http://books.google.com/books/content?id=EUUAFOeg-ioC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Design,2013
Indian Currency and Finance,John Maynard Keynes,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=qbLJwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2018
Images of Nebuchadnezzar,Ronald Herbert Sack,"Images of Nebuchadnezzar attempts to probe the diversity of cultural attitudes reflected in the characterizations of this famous king through an examination of both the original cuneiform sources as well as the accounts of chronographers written in Greek, Roman, and medieval times. Included in this revised and expanded second edition are two new chapters that examine both Nebuchadnezzar's administrative policies and the impact that his death had on both contemporary and later cultures. Both the positive and negative images of the king are explored, with conclusions being developed as to what the authors of the various surviving accounts actually thought the king really was. In the process, the whole nature of historiography in the ancient world is analyzed, and a number of broad conclusions are developed. Anyone who has ever read Second Kings or the books of Daniel and Jeremiah of the Old Testament is familiar with the name of Nebuchadnezzar, the king of Babylon who conquered the kingdom of Judah and destroyed Solomon's temple. As the second member of the Chaldean dynasty of Mesopotamia (626-539 B.C.), he ruled for forty-three years (605-562 B.C.), during which time he also led military campaigns into Syria and Lebanon. He also organized a number of building projects that were to transform Babylon into one of the seven wonders of the ancient world. Among his noteworthy achievements were the construction of massive fortification walls around Babylon, the refurbishing of Marduk's temple in the city, and the building of huge palaces that served as the king's residences. Tales of these legendary achievements, as well as those of his father, Nabopolassar (626-605 B.C.), also found their way into the narratives of a number of Greek, Roman, and medieval historians and chronographers many centuries later. Unfortunately, much of the record of Nebuchadnezzar's achievements that was written in his own time has not survived. Instead, only secondary accounts of his military campaigns or his construction projects in Babylon written in Greek, Latin, Hebrew, or Arabic are available for analysis. These stories vary greatly in content and emphasis and, in many cases, distort much of what we know from Nebuchadnezzar's own sources. The Hebrews, for example, described Nebuchadnezzar's siege of Jerusalem in such a way as to consider it something that should never again be repeated. The Greeks, on the other hand, saw the building projects in Babylon as evidence of almost superhuman achievements, as monuments that were the result of efforts by a king who was almost godlike. Why, then, is there such diversity in the characterizations of Nebuchadnezzar? This book proposes answers to these questions.",http://books.google.com/books/content?id=nxC1wF3_IEAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Biography & Autobiography,2004
Constantinople: Capital of Byzantium,Jonathan Harris,This book examines the intriguing interaction between the spiritual and the political whilst reconstructs the awe-inspiring city in its heyday of 1200.,http://books.google.com/books/content?id=UTjUAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2009
The Administration Of The East India Company: A History Of Indian Progress,Sir John William Kaye,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=sZiDxAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2019
Bombay Place-Names and Street-Names; An Excursion Into the By-Ways of the History of Bombay City,Samuel Townsend Sheppard,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=OOhGvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2018
The Village Gods of South India,Henry Whitehead,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=wa1gwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2019
A Short History of the World,H. G. Wells,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. So that the book is never forgotten we have represented this book in a print format as the same form as it was originally first published. Hence any marks or annotations seen are left intentionally to preserve its true nature.,http://books.google.com/books/content?id=3VfuzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2020
The Past Before Us,Romila Thapar,"The claim that India uniquely lacks historical writing distracts us from a more pertinent question: how to recognize the historical sense of societies whose past is recorded in ways very different from European conventions. Romila Thapar, distinguished scholar of ancient India, provides a panoramic survey of historical traditions in North India.",http://books.google.com/books/content?id=ScYJAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2013
Hitler's Gift,"Jean Medawar, David Pyke","Between 1901 and 1932, Germany won a third of all the Nobel Prizes for science. With Hitler's rise to power and the introduction of racial laws, starting with the exclusion of all Jews from state institutions, Jewish professors were forced to leave their jobs, which closed the door on Germany’s fifty-year record of world supremacy in science. Of these more than 1,500 refugees, fifteen went on to win Nobel Prizes, several co-discovered penicillin—and more of them became the driving force behind the atomic bomb project. In this revelatory book, Jean Medawar and David Pyke tell countless gripping individual stories of emigration, rescue, and escape, including those of Albert Einstein, Fritz Haber, Leo Szilard, and many others. Much of this material was collected through interviews with more than twenty of the surviving refugee scholars, so as to document for history the steps taken after Hitler’s policy was enacted. As one refugee scholar wrote, “Far from destroying the spirit of German scholarship, the Nazis had spread it all over the world. Only Germany was to be the loser.” Hitler’s Gift is the story of the men who were forced from their homeland and went on to revolutionize many of the scientific practices that we rely on today. Experience firsthand the stories of these geniuses, and learn not only how their deportation affected them, but how it bettered the world that we live in today.",http://books.google.com/books/content?id=_hN1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2012
The Assassins,Bernard Lewis,"From a master historian, the definitive account of history's first terrorists An offshoot of the Ismaili Shi'ite sect of Islam, the Assassins were the first group to make systematic use of murder as a political weapon. Established in Iran and Syria in the eleventh and twelfth centuries, they aimed to overthrow the existing Sunni order in Islam and replace it with their own. They terrorized their foes with a series of dramatic murders of Islamic leaders, as well as of some of the Crusaders, who brought their name and fame back to Europe. Professor Lewis traces the history of this radical group, studying its teachings and its influence on Muslim thought. Particularly insightful in light of the rise of the terrorist attacks in the U.S. and in Israel, this account of the Assassins -- whose name is now synonymous with politically motivated murderers -- places recent events in historical perspective and sheds new light on the fanatic mind.",http://books.google.com/books/content?id=sRVmL_h_PcsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,History,2008
Train to Pakistan,"Khushwant Singh, Margaret Bourke-White, Pramod Kapoor","In 'Train to Pakistan', truth meets fiction as Khushwant Singh recounts the trauma and tragedy of partition through the stories of his characters - the stories that he, his family and friends themselves experienced or saw enacted before their eyes.",http://books.google.com/books/content?id=irvGRQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,2006
The Divine Comedy,"Henry Johnson, Dante Alighieri","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=I1G0DAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2016
Alexander the Great,Philip Freeman,"In the first authoritative biography of Alexander the Great written for a general audience in a generation, classicist and historian Philip Freeman tells the remarkable life of the great conqueror. The celebrated Macedonian king has been one of the most enduring figures in history. He was a general of such skill and renown that for two thousand years other great leaders studied his strategy and tactics, from Hannibal to Napoleon, with countless more in between. He flashed across the sky of history like a comet, glowing brightly and burning out quickly: crowned at age nineteen, dead by thirty-two. He established the greatest empire of the ancient world; Greek coins and statues are found as far east as Afghanistan. Our interest in him has never faded. Alexander was born into the royal family of Macedonia, the kingdom that would soon rule over Greece. Tutored as a boy by Aristotle, Alexander had an inquisitive mind that would serve him well when he faced formidable obstacles during his military campaigns. Shortly after taking command of the army, he launched an invasion of the Persian empire, and continued his conquests as far south as the deserts of Egypt and as far east as the mountains of present-day Pakistan and the plains of India. Alexander spent nearly all his adult life away from his homeland, and he and his men helped spread the Greek language throughout western Asia, where it would become the lingua franca of the ancient world. Within a short time after Alexander’s death in Baghdad, his empire began to fracture. Best known among his successors are the Ptolemies of Egypt, whose empire lasted until Cleopatra. In his lively and authoritative biography of Alexander, classical scholar and historian Philip Freeman describes Alexander’s astonishing achievements and provides insight into the mercurial character of the great conqueror. Alexander could be petty and magnanimous, cruel and merciful, impulsive and farsighted. Above all, he was ferociously, intensely competitive and could not tolerate losing—which he rarely did. As Freeman explains, without Alexander, the influence of Greece on the ancient world would surely not have been as great as it was, even if his motivation was not to spread Greek culture for beneficial purposes but instead to unify his empire. Only a handful of people have influenced history as Alexander did, which is why he continues to fascinate us.",http://books.google.com/books/content?id=Br-Ho0rlFGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Biography & Autobiography,2011
"An Account of the Foxglove, and Some of its Medical Uses",William Withering,A pioneering 1785 description of the medicinal applications of the foxglove (Digitalis purpurea) by the physician William Withering (1741-99).,http://books.google.com/books/content?id=N5RxBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Health & Fitness,2014
Pocahontas's People,Helen C. Rountree,"In this history, Helen C. Roundtree traces events that shaped the lives of the Powhatan Indians of Virginia, from their first encounter with English colonists, in 1607, to their present-day way of life and relationship to the state of Virginia and the federal government. Roundtree’s examination of those four hundred years misses not a beat in the pulse of Powhatan life. Combining meticulous scholarship and sensitivity, the author explores the diversity always found among Powhatan people, and those people’s relationships with the English, the government of the fledgling United States, the Union and the Confederacy, the U.S. Census Bureau, white supremacists, the U.S. Selective Service, and the civil rights movement.",http://books.google.com/books/content?id=fUzd7LeJpjYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,1990
The High-Caste Hindu Woman,Pundita Ramabai Sarasvati,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=6id3wwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Family & Relationships,2019
The World's Religions,"Peter Clarke, Friedhelm Hardy, Leslie Houlden, Stewart Sutherland","* Gives an account of the history, the theological basis, the practice and the current state of the study of religion and religions throughout the world * Combines a clear and non-technical style of presentation with a structure and range of contributions which reflect the richness and complexity of religion itself, of the religions of the world and the study of religions * Comprehensive index, bibliographies and suggestions for further reading `Intriguing philosophical questions are raised about the nature of religion and the qualities needed for studying it.' - Times Higher Education Supplement `Excellent book ... remarkably successful, impressive as much for the sheer scale of the undertaking as for its consistent standard of analysis. It is a fine achievement which will serve both as a very suitable textbook for students and a reliable guide to the state of scholarship in the History and Study of Religions.' - Heythrop Journal",http://books.google.com/books/content?id=HAg3AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Reference,2004
How To Tell a Story and Others,Mark Twain,"How to Tell a Story and Other Essays is a useful book even if it isn't the funniest thing ever - and the title essay really is chock-full of good, solid advice for budding writers. In the literary line, ""In Defence of Harriet Shelley"" is a lengthy demolition of Prof. Edward Dowden's 1886 attempt at a biography of English poet Percy Bysshe Shelley. Dowden laid all the blame for Shelley's contemptible excesses on Shelley's first wife, Harriet (a child bride aged 16). ""Fenimore Cooper's Literary Offences"" is a rich chortle made richer by the fact that its seemingly hyperbolic charges are all perfectly true. Other selections include ""Traveling with a Reformer,"" ""Private History of the 'Jumping Frog' Story,"" ""Mental Telegraphy Again,"" ""What Paul Bourget Thinks of Us,"" and ""A Little Note to M. Paul Bourget."" Today's readers probably know less about Paul Bourget than they know of the poet Shelley, and care not at all about 19th-century authorial cat fights.",http://books.google.com/books/content?id=pJ8oQhsJe8MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,2020
